,KNeighborsClassifier,SVC,DecisionTreeClassifier,RandomForestClassifier,MLPClassifier,GradientBoostingClassifier
0,0.8706896551724138,0.8405172413793104,0.8448275862068966,0.875,0.8663793103448276,0.9137931034482759
1,0.8793103448275862,0.9094827586206896,0.9051724137931034,0.9396551724137931,0.9181034482758621,0.9698275862068966
2,0.9008620689655172,0.8879310344827587,0.8706896551724138,0.9181034482758621,0.896551724137931,0.9396551724137931
3,0.9094827586206896,0.9267241379310345,0.9353448275862069,0.9525862068965517,0.9051724137931034,0.9698275862068966
4,0.8793103448275862,0.9008620689655172,0.853448275862069,0.8879310344827587,0.8879310344827587,0.9051724137931034
5,0.8663793103448276,0.9181034482758621,0.9267241379310345,0.9267241379310345,0.875,0.9267241379310345
6,0.8528138528138528,0.8831168831168831,0.8614718614718615,0.8874458874458875,0.8787878787878788,0.9004329004329005
7,0.8484848484848485,0.8614718614718615,0.8744588744588745,0.8831168831168831,0.8701298701298701,0.9177489177489178
8,0.8831168831168831,0.8831168831168831,0.8484848484848485,0.9264069264069265,0.8831168831168831,0.9393939393939394
9,0.8658008658008658,0.9134199134199135,0.8744588744588745,0.935064935064935,0.9177489177489178,0.9307359307359307
