,KNeighborsClassifier,SVC,DecisionTreeClassifier,RandomForestClassifier,MLPClassifier,GradientBoostingClassifier
0,0.8484848484848485,0.5151515151515151,0.7878787878787878,0.8787878787878788,0.8181818181818182,0.8484848484848485
1,0.9090909090909091,0.5151515151515151,0.9393939393939394,0.7878787878787878,0.7575757575757576,0.8181818181818182
2,0.7878787878787878,0.48484848484848486,0.7878787878787878,0.8484848484848485,0.8787878787878788,0.8787878787878788
3,0.8484848484848485,0.6363636363636364,0.7575757575757576,0.9090909090909091,0.8484848484848485,0.9090909090909091
4,0.9393939393939394,0.7272727272727273,0.8787878787878788,0.8787878787878788,0.7575757575757576,0.8484848484848485
5,0.8787878787878788,0.5151515151515151,0.9090909090909091,0.9090909090909091,0.8181818181818182,0.7575757575757576
6,0.8181818181818182,0.696969696969697,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.8787878787878788
7,0.9393939393939394,0.6060606060606061,0.8181818181818182,0.8484848484848485,0.7878787878787878,0.7878787878787878
8,0.7878787878787878,0.45454545454545453,0.7878787878787878,0.8484848484848485,0.7878787878787878,0.9090909090909091
9,0.8787878787878788,0.5757575757575758,0.7878787878787878,0.8484848484848485,0.8787878787878788,0.7272727272727273
