,Accuracy,F1_Score,Recall,Precision
0,0.5606986899563319,0.5667527993109389,0.5741710296684118,0.5595238095238095
1,0.5572052401746724,0.5444743935309974,0.5287958115183246,0.5611111111111111
2,0.5676855895196506,0.5576407506702412,0.5454545454545454,0.5703839122486288
3,0.5781659388646289,0.5744493392070484,0.568935427574171,0.5800711743772242
4,0.5414847161572053,0.5478036175710596,0.5559440559440559,0.5398981324278438
5,0.5729257641921397,0.5714285714285714,0.5699300699300699,0.5729349736379613
6,0.537117903930131,0.541522491349481,0.5462478184991274,0.5368782161234992
7,0.5353711790393013,0.5325131810193321,0.5297202797202797,0.5353356890459364
8,0.5580786026200873,0.5675213675213675,0.5794066317626527,0.5561139028475712
9,0.5580786026200873,0.5660377358490566,0.5769230769230769,0.5555555555555556
