,Accuracy,F1_Score,Recall,Precision
0,0.7035497281739687,0.7135352286773796,0.738407419251679,0.6902840059790732
1,0.6955548448992644,0.7059913526868437,0.731052126638951,0.6825918184532697
2,0.7030700351774865,0.7129386303910961,0.7374480332587144,0.6900059844404548
3,0.7046690118324273,0.7120810600155884,0.7304125359769748,0.694647201946472
4,0.6963543332267349,0.7078910936778958,0.7358490566037735,0.6819798458802608
5,0.696514230892229,0.7091633466135457,0.7400063959066198,0.6807884671962342
6,0.6933162775823473,0.6998435054773083,0.7150623600895427,0.6852589641434262
7,0.6893188359449952,0.6961688819390148,0.711864406779661,0.6811505507955936
8,0.7001918771985929,0.7098870493578835,0.7336104892868565,0.6876498800959233
9,0.6989126958746402,0.7096376252891288,0.7358490566037735,0.6852293031566409
