,Accuracy,F1_Score,Recall,Precision
0,0.8437415517707488,0.010273972602739725,0.005244755244755245,0.25
1,0.8445525817788592,0.00690846286701209,0.0034965034965034965,0.2857142857142857
2,0.8429305217626385,0.0,0.0,0.0
3,0.8440118951067856,0.010291595197255574,0.005244755244755245,0.2727272727272727
4,0.842389835090565,0.0068143100511073255,0.0034965034965034965,0.13333333333333333
5,0.8437415517707488,0.006872852233676976,0.0034965034965034965,0.2
6,0.8448229251148959,0.013745704467353952,0.006993006993006993,0.4
7,0.8440118951067856,0.0068846815834767644,0.0034965034965034965,0.2222222222222222
8,0.8432008650986753,0.010238907849829351,0.005244755244755245,0.21428571428571427
9,0.8437415517707488,0.0034482758620689655,0.0017482517482517483,0.125
